???Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Sheep,Offal,Pneumonia Mycoplasma Like,2020-04,Wales,9914,160060,16,6.194
Sheep,Offal,Pneumonia Mycoplasma Like,2020-05,Wales,9104,165979,16,5.485
Sheep,Offal,Pneumonia Mycoplasma Like,2020-06,Wales,43364,226854,16,19.115
Sheep,Offal,Pneumonia Pasteurella Like,2020-04,England,8008,686671,125,1.166
Sheep,Offal,Pneumonia Pasteurella Like,2020-05,England,8814,712039,126,1.238
Sheep,Offal,Pneumonia Pasteurella Like,2020-06,England,9498,797985,124,1.19
Sheep,Offal,Pneumonia Pasteurella Like,2020-04,Wales,826,160060,16,0.516
Sheep,Offal,Pneumonia Pasteurella Like,2020-05,Wales,493,165979,16,0.297
Sheep,Offal,Pneumonia Pasteurella Like,2020-06,Wales,639,226854,16,0.282
Sheep,Total Rejection,Contamination,2020-04,England,9,686671,125,0.001
Sheep,Total Rejection,Contamination,2020-05,England,5,712039,126,0.001
Sheep,Total Rejection,Contamination,2020-06,England,10,797985,124,0.001
Sheep,Total Rejection,Contamination,2020-04,Wales,3,160060,16,0.002
Sheep,Total Rejection,Contamination,2020-05,Wales,2,165979,16,0.001
Sheep,Total Rejection,Cysticercus ovis (Generalised),2020-04,England,205,686671,125,0.03
Sheep,Total Rejection,Cysticercus ovis (Generalised),2020-05,England,164,712039,126,0.023
Sheep,Total Rejection,Cysticercus ovis (Generalised),2020-06,England,140,797985,124,0.018
Sheep,Total Rejection,Cysticercus ovis (Generalised),2020-04,Wales,187,160060,16,0.117
Sheep,Total Rejection,Cysticercus ovis (Generalised),2020-05,Wales,53,165979,16,0.032
Sheep,Total Rejection,Cysticercus ovis (Generalised),2020-06,Wales,10,226854,16,0.004
Sheep,Total Rejection,Emaciation/Generalised Oedema,2020-04,England,570,686671,125,0.083
Sheep,Total Rejection,Emaciation/Generalised Oedema,2020-05,England,523,712039,126,0.073
Sheep,Total Rejection,Emaciation/Generalised Oedema,2020-06,England,531,797985,124,0.067
Sheep,Total Rejection,Emaciation/Generalised Oedema,2020-04,Wales,55,160060,16,0.034
Sheep,Total Rejection,Emaciation/Generalised Oedema,2020-05,Wales,67,165979,16,0.04
Sheep,Total Rejection,Emaciation/Generalised Oedema,2020-06,Wales,27,226854,16,0.012
Sheep,Total Rejection,Generalised Tuberculosis (Suspect),2020-04,England,1,686671,125,0
Sheep,Total Rejection,Generalised Tuberculosis (Suspect),2020-06,England,3,797985,124,0
Sheep,Total Rejection,Hydatidosis,2020-04,England,1,686671,125,0
Sheep,Total Rejection,Hydatidosis,2020-06,England,5,797985,124,0.001
Sheep,Total Rejection,Jaundice,2020-04,England,20,686671,125,0.003
Sheep,Total Rejection,Jaundice,2020-05,England,20,712039,126,0.003
Sheep,Total Rejection,Jaundice,2020-06,England,20,797985,124,0.003
Sheep,Total Rejection,Jaundice,2020-04,Wales,1,160060,16,0.001
Sheep,Total Rejection,Jaundice,2020-05,Wales,1,165979,16,0.001
Sheep,Total Rejection,Jaundice,2020-06,Wales,1,226854,16,0
Sheep,Total Rejection,Multiple Abscesses/Pyaemia,2020-04,England,203,686671,125,0.03
Sheep,Total Rejection,Multiple Abscesses/Pyaemia,2020-05,England,201,712039,126,0.028
Sheep,Total Rejection,Multiple Abscesses/Pyaemia,2020-06,England,189,797985,124,0.024
Sheep,Total Rejection,Multiple Abscesses/Pyaemia,2020-04,Wales,26,160060,16,0.016
Sheep,Total Rejection,Multiple Abscesses/Pyaemia,2020-05,Wales,18,165979,16,0.011
Sheep,Total Rejection,Multiple Abscesses/Pyaemia,2020-06,Wales,11,226854,16,0.005
Sheep,Total Rejection,Other,2020-04,England,100,686671,125,0.015
Sheep,Total Rejection,Other,2020-05,England,92,712039,126,0.013
Sheep,Total Rejection,Other,2020-06,England,81,797985,124,0.01
Sheep,Total Rejection,Other,2020-04,Wales,83,160060,16,0.052
Sheep,Total Rejection,Other,2020-05,Wales,115,165979,16,0.069
Sheep,Total Rejection,Other,2020-06,Wales,49,226854,16,0.022
Sheep,Total Rejection,Polyarthritis,2020-04,England,210,686671,125,0.031
Sheep,Total Rejection,Polyarthritis,2020-05,England,241,712039,126,0.034
Sheep,Total Rejection,Polyarthritis,2020-06,England,141,797985,124,0.018
Sheep,Total Rejection,Polyarthritis,2020-04,Wales,157,160060,16,0.098
Sheep,Total Rejection,Polyarthritis,2020-05,Wales,106,165979,16,0.064
Sheep,Total Rejection,Polyarthritis,2020-06,Wales,35,226854,16,0.015
Sheep,Total Rejection,Processing Fault,2020-04,England,4,686671,125,0.001
Sheep,Total Rejection,Processing Fault,2020-05,England,6,712039,126,0.001
Sheep,Total Rejection,Processing Fault,2020-06,England,6,797985,124,0.001
Sheep,Total Rejection,Processing Fault,2020-05,Wales,137,165979,16,0.083
Sheep,Total Rejection,Processing Fault,2020-06,Wales,360,226854,16,0.159
Sheep,Total Rejection,Septicaemia/Fever,2020-04,England,107,686671,125,0.016
Sheep,Total Rejection,Septicaemia/Fever,2020-05,England,102,712039,126,0.014
Sheep,Total Rejection,Septicaemia/Fever,2020-06,England,120,797985,124,0.015
Sheep,Total Rejection,Septicaemia/Fever,2020-04,Wales,37,160060,16,0.023
Sheep,Total Rejection,Septicaemia/Fever,2020-05,Wales,11,165979,16,0.007
Sheep,Total Rejection,Septicaemia/Fever,2020-06,Wales,8,226854,16,0.004
